A,B,C,D,E,F
21,57.56,2,-9.44,-65.2997,-40.8038
4,-10.55,25,35.98,-7.50001,-12.9904
22,61.36,17,20.39,-13.8076,-5.86096
5,-6.48,23,32.16,52.7983,4.61925
20,53.31,4,-5.82,-81.2312,-43.1914
19,49.27,2,-10.01,87.0551,18.5041
31,97.3,18,22.14,-92.0949,-12.9431
24,69.18,34,53.98,-13.2646,-8.94708
1,-23.02,14,14.33,-3.0686,-6.29156
26,77.5,33,52.47,23.1662,11.8037
13,25.23,24,34.25,-59.4161,-8.35038
25,73.28,39,64.2,-73.1354,-68.1998
18,45.33,19,24.09,-9.52628,-5.5
12,21.48,17,20.55,19.8631,42.5964
18,45.23,15,16.28,-23.7045,-3.75442
5,-6.73,0,-13.54,20.46,21.9406
35,113.44,15,16.43,36.8582,22.1466
24,68.98,24,34.2,-23.6918,-39.4297
19,49.15,37,60.05,-18.113,-15.7454
10,13.11,22,30.02,-0.876744,-1.79759
39,129.52,21,28.08,-6.10106,-13.7032
15,33.09,10,6.28,52.1922,57.9653
39,129.19,35,56,54.2418,80.4166
9,9.45,11,8.43,-37.6183,-51.7771
15,33.03,14,14.14,-23.6181,-27.1695
8,5,39,63.98,-9.81123,-8.52876
4,-10.69,28,42.32,23.0126,9.76827
8,5.53,32,50.52,29.0019,13.5238
36,117.1,38,62.36,-6.78439,-4.23935
39,129.04,33,52.1,35.2133,7.48481
29,89.42,33,52.37,57.5677,7.06842
17,41,6,-1.66,36.0527,60.0017
36,117.07,32,50.45,9.31759,24.2731
10,13.19,18,21.98,-17.3867,-4.65874
28,85.18,9,4.5,13,22.5167
31,97.44,2,-9.47,64.4045,18.4677
8,5.53,36,58.23,-41.6937,-75.2173
10,12.99,16,18.2,-10.7511,-28.0074
39,129.1,9,4.46,-41.3803,-61.3487
39,129.31,4,-5.75,69.4813,52.3579
26,77.47,21,28.05,44.821,10.3477
29,89.03,5,-3.66,2.19186,4.49397
15,33.44,13,12.01,1.28558,1.53209
38,124.99,28,42.04,-53.6231,-43.4231
10,13.2,20,26.23,-35.7393,-9.5763
8,5.06,10,6.18,-18.2388,-12.3022
10,13.36,7,0.44,-56.1334,-28.6014
18,45.21,20,26.08,-49.1039,-52.6574
26,77.24,16,18.12,52.16,13.9762
21,57.34,23,32.51,-44.0372,-86.4276
34,109.01,8,2.33,4.60252,1.95365
25,73.32,9,4.22,28.1475,55.2424
9,9.17,3,-7.62,29.7991,8.54475
24,69.27,10,6.49,-11.5,-19.9186
32,101.55,2,-9.56,15.0231,28.2543
6,-2.65,1,-11.77,16.996,52.3081
4,-10.83,14,14.02,69.776,67.3818
4,-10.56,29,44.04,-31.6886,-4.45354
30,93.41,23,32.38,-20.4932,-10.4418
38,125.38,30,46.09,-26.8468,-15.5
29,89.32,33,52.28,-5.55508,-18.1698
10,13.54,1,-11.99,-17.9315,-1.5688
33,105.23,37,60.52,-6.80987,-13.3651
0,-26.67,22,30.12,-30.8302,-3.24038
27,81.44,33,52.06,-36.5313,-18.6136
4,-10.55,9,4.07,-28.0119,-7.50575
10,13.3,39,64.28,26.2225,64.9028
2,-18.88,32,50.48,-88.0333,-18.712
9,9.19,25,36.21,-44.6056,-24.7253
35,113.05,1,-11.83,-42.2839,-45.3439
2,-18.69,13,12.2,-66.4711,-36.8455
5,-6.56,30,46.41,52.5659,24.5118
30,93.29,35,55.99,-2.40726,-3.19454
11,17.54,32,50.54,-67.5179,-72.404
3,-14.54,30,46.14,68.7374,6.01374
9,9.41,15,15.99,-12.4964,-3.58328
19,49.1,18,22.06,63.0346,28.0648
1,-22.44,33,52.53,70.1721,20.1215
34,109.02,19,24.24,-70.4471,-49.3275
21,57.34,1,-11.92,-5.69432,-12.7896
24,69.25,7,0.56,88.3465,17.1728
22,61.38,11,8.1,-23.5908,-52.9856
34,109,12,10.56,-13.5747,-24.4893
21,57.23,11,8.37,18.5786,16.7283
20,53.23,26,38.39,9.51057,3.09017
25,73.03,1,-11.91,-36.8022,-40.8729
30,93.36,25,36.19,23.2871,5.80612
23,65.35,15,16.04,-35.618,-22.2566
13,25.56,25,36.33,15.3713,11.1679
33,105.48,9,4.17,36.4058,26.4503
5,-6.81,37,60.23,75.2173,41.6936
29,89.34,6,-1.77,-0.965926,-0.258819
18,45.11,1,-11.9,-34.6314,-71.0047
32,101.12,10,6.54,20.6723,10.0825
0,-26.54,12,10.39,-90.6537,-7.93117
25,73.11,32,50.4,-5.75472,-5.55726
9,9.3,28,42.04,19.563,4.15823
18,45.07,1,-11.84,50.3141,37.9143
30,93.12,9,3.97,-42.3815,-22.5346
1,-22.58,2,-9.78,-46.7962,-24.882
35,113.29,9,4.37,-49.2826,-78.8684
31,97.06,6,-1.64,-78.4208,-30.1029
26,77.03,16,18.24,-20.6723,-10.0825
1,-22.76,38,62.08,20.6669,33.0739
16,37.37,8,2.07,-0.938945,-1.76589
5,-6.5,39,64.11,41.1096,18.3031
19,49.13,0,-13.58,-29.5094,-57.9154
24,69.1,35,56.49,4.68878,11.0461
4,-10.89,12,9.99,-22.109,-6.33965
5,-6.78,4,-5.98,19.0624,29.3535
12,21.37,27,40.01,57.5453,63.9104
3,-14.78,21,28.32,1.65808,1.11838
3,-14.57,22,30.35,-56.5582,-22.851
23,65,33,52.24,52.8301,81.351
18,45.32,27,39.99,56.7311,19.5341
36,117.3,6,-1.59,-8.78499,-6.61996
29,89.41,29,44.07,-19.9722,-6.48935
11,17.19,10,6.23,-18.4678,-64.4045
33,105.05,4,-5.45,5.61911,13.9078
0,-26.78,28,42.24,22.3677,33.1615
13,25.13,26,38.36,-17.9981,-21.4492
3,-14.62,39,64.01,-68.8794,-32.119
27,81.52,24,34.34,-51.1374,-70.3844
38,125.23,17,20.51,-23.6181,-27.1695
20,53.13,10,6.17,54.7907,4.79356
21,57.45,38,62.56,-26.6976,-19.3969
34,108.99,4,-5.58,-30.9732,-44.2342
7,1.31,16,18.49,2.88379,0.826911
1,-22.89,28,42.48,-49.167,-16.9295
15,33.17,13,12.22,-11.4025,-37.2959
7,1.39,9,4.03,-61.6735,-76.1603
29,89.05,11,8.1,-40.1298,-36.133
14,29.5,3,-8.01,15.7621,6.36831
3,-14.52,33,52.2,32.855,52.579
28,85.34,14,13.98,-32.5,-56.2916
1,-22.49,29,44.27,57.6757,16.5382
